seconds,class,coverage,time
18,org.jsoup.parser.XmlTreeBuilder,0.7914523889711277,28646
18,org.jsoup.parser.Tag,0.9422507105684816,28507
18,org.jsoup.parser.Parser,0.893888433727695,30326
18,org.jsoup.parser.CharacterReader,0.9527177324835249,70209
18,org.jsoup.parser.HtmlTreeBuilderState,0.42540616107471374,21958
18,org.jsoup.parser.TokeniserState,0.425,21593
18,org.jsoup.parser.HtmlTreeBuilder,0.5726723399589375,45563
19,org.jsoup.parser.ParseError,0.9722222222222222,21545
19,org.jsoup.parser.TreeBuilder,0.8966210808775068,29413
19,org.jsoup.parser.Token,0.9631048387096774,34363
19,org.jsoup.parser.TokenQueue,0.9396146596346332,76564
19,org.jsoup.parser.Tokeniser,0.8347879857026494,35210
19,org.jsoup.parser.ParseSettings,0.9625,24952
19,org.jsoup.parser.ParseErrorList,0.9411764705882353,21318
19,org.jsoup.parser.XmlTreeBuilder,0.8686282572428863,33191
19,org.jsoup.parser.Tag,0.9410130868061055,30869
19,org.jsoup.parser.Parser,0.8928380135596278,31421
19,org.jsoup.parser.CharacterReader,0.9491027499051277,71330
19,org.jsoup.parser.HtmlTreeBuilderState,0.42540616107471374,23181
19,org.jsoup.parser.TokeniserState,0.425,22619
19,org.jsoup.parser.HtmlTreeBuilder,0.5777885027770642,45248
20,org.jsoup.parser.ParseError,0.9722222222222222,22537
20,org.jsoup.parser.TreeBuilder,0.8303820261745599,30688
20,org.jsoup.parser.Token,0.9586405529953917,35809
20,org.jsoup.parser.TokenQueue,0.9415858075367586,73027
20,org.jsoup.parser.Tokeniser,0.7646160002644071,35715
20,org.jsoup.parser.ParseSettings,0.9625,25440
20,org.jsoup.parser.ParseErrorList,0.9411764705882353,22326
20,org.jsoup.parser.XmlTreeBuilder,0.7690579222047301,30832
20,org.jsoup.parser.Tag,0.9422507105684816,31391
20,org.jsoup.parser.Parser,0.9164107950872658,32484
20,org.jsoup.parser.CharacterReader,0.9504450052107977,79044
20,org.jsoup.parser.HtmlTreeBuilderState,0.42540616107471374,24151
20,org.jsoup.parser.TokeniserState,0.425,23640
20,org.jsoup.parser.HtmlTreeBuilder,0.48410630905732854,44505
21,org.jsoup.parser.ParseError,0.9722222222222222,23527
21,org.jsoup.parser.TreeBuilder,0.8428820261745599,31243
21,org.jsoup.parser.Token,0.9586405529953917,36539
21,org.jsoup.parser.TokenQueue,0.9435667901041119,73396
21,org.jsoup.parser.Tokeniser,0.8144481946067267,37927
21,org.jsoup.parser.ParseSettings,0.9625,26890
21,org.jsoup.parser.ParseErrorList,0.9411764705882353,23511
21,org.jsoup.parser.XmlTreeBuilder,0.8726990765760474,32634
21,org.jsoup.parser.Tag,0.9422507105684816,31904
21,org.jsoup.parser.Parser,0.8928380135596278,33866
21,org.jsoup.parser.CharacterReader,0.9523943769772425,87118
21,org.jsoup.parser.HtmlTreeBuilderState,0.42540616107471374,24990
21,org.jsoup.parser.TokeniserState,0.425,24574
21,org.jsoup.parser.HtmlTreeBuilder,0.6501232268178935,57921
22,org.jsoup.parser.ParseError,0.9722222222222222,24652
22,org.jsoup.parser.TreeBuilder,0.9007877475441735,32783
22,org.jsoup.parser.Token,0.9586405529953917,37750
22,org.jsoup.parser.TokenQueue,0.9493473212024804,75078
22,org.jsoup.parser.Tokeniser,0.7646160002644071,37390
22,org.jsoup.parser.ParseSettings,0.9625,27599
22,org.jsoup.parser.ParseErrorList,0.9411764705882353,24336
22,org.jsoup.parser.XmlTreeBuilder,0.8402582297516389,33449
22,org.jsoup.parser.Tag,0.9422507105684816,33570
22,org.jsoup.parser.Parser,0.9164107950872658,34697
22,org.jsoup.parser.CharacterReader,0.9544540226076608,87094
22,org.jsoup.parser.HtmlTreeBuilderState,0.42540616107471374,26115
22,org.jsoup.parser.TokeniserState,0.425,25678
22,org.jsoup.parser.HtmlTreeBuilder,0.6268648067644701,55595
23,org.jsoup.parser.ParseError,0.9722222222222222,25579
23,org.jsoup.parser.TreeBuilder,0.8628605278850077,32857
23,org.jsoup.parser.Token,0.9631048387096774,38761
23,org.jsoup.parser.TokenQueue,0.9436221410876116,81761
23,org.jsoup.parser.Tokeniser,0.7672282118035629,39695
23,org.jsoup.parser.ParseSettings,0.9625,28706
23,org.jsoup.parser.ParseErrorList,0.9411764705882353,25453
23,org.jsoup.parser.XmlTreeBuilder,0.7724825797389767,36686
23,org.jsoup.parser.Tag,0.9422507105684816,34145
23,org.jsoup.parser.Parser,0.8959892740638294,38366
23,org.jsoup.parser.CharacterReader,0.9502417531782774,69728
23,org.jsoup.parser.HtmlTreeBuilderState,0.42540616107471374,27058
23,org.jsoup.parser.TokeniserState,0.425,26628
23,org.jsoup.parser.HtmlTreeBuilder,0.6222528477854741,60341
24,org.jsoup.parser.ParseError,0.9722222222222222,26523
24,org.jsoup.parser.TreeBuilder,0.7778871373424616,37392
24,org.jsoup.parser.Token,0.9631048387096774,39977
24,org.jsoup.parser.TokenQueue,0.9438202393443469,96596
24,org.jsoup.parser.Tokeniser,0.7840733797316753,39504
24,org.jsoup.parser.ParseSettings,0.9625,29790
24,org.jsoup.parser.ParseErrorList,0.9411764705882353,26443
24,org.jsoup.parser.XmlTreeBuilder,0.8520169385767732,34596
24,org.jsoup.parser.Tag,0.9422507105684816,33909
24,org.jsoup.parser.Parser,0.9185116354234002,37966
24,org.jsoup.parser.CharacterReader,0.9526633935170521,80865
24,org.jsoup.parser.HtmlTreeBuilderState,0.42540616107471374,28032
24,org.jsoup.parser.TokeniserState,0.425,27562
24,org.jsoup.parser.HtmlTreeBuilder,0.5928093994484572,50825
25,org.jsoup.parser.ParseError,0.9722222222222222,27584
25,org.jsoup.parser.TreeBuilder,0.812524883317417,36389
25,org.jsoup.parser.Token,0.9631048387096774,40543
25,org.jsoup.parser.TokenQueue,0.9239008274011294,82272
25,org.jsoup.parser.Tokeniser,0.7606492644351419,40443
25,org.jsoup.parser.ParseSettings,0.9625,30660
25,org.jsoup.parser.ParseErrorList,0.9411764705882353,27354
25,org.jsoup.parser.XmlTreeBuilder,0.7690579222047301,36941
25,org.jsoup.parser.Tag,0.9422507105684816,36327
25,org.jsoup.parser.Parser,0.9185116354234002,39708
25,org.jsoup.parser.CharacterReader,0.9534079975030583,83646
25,org.jsoup.parser.HtmlTreeBuilderState,0.42540616107471374,29143
25,org.jsoup.parser.TokeniserState,0.425,28548
25,org.jsoup.parser.HtmlTreeBuilder,0.5025814640744308,50086
26,org.jsoup.parser.ParseError,0.9722222222222222,28517
26,org.jsoup.parser.TreeBuilder,0.8553820261745598,36332
26,org.jsoup.parser.Token,0.9631048387096774,42088
26,org.jsoup.parser.TokenQueue,0.9452358732885203,79526
26,org.jsoup.parser.Tokeniser,0.7403049258702575,40971
26,org.jsoup.parser.ParseSettings,0.9625,31521
26,org.jsoup.parser.ParseErrorList,0.9411764705882353,28347
26,org.jsoup.parser.XmlTreeBuilder,0.843036725486971,41939
26,org.jsoup.parser.Tag,0.9422507105684816,36348
26,org.jsoup.parser.Parser,0.9185116354234002,39323
26,org.jsoup.parser.CharacterReader,0.9527141374970236,84868
26,org.jsoup.parser.HtmlTreeBuilderState,0.42540616107471374,29943
26,org.jsoup.parser.TokeniserState,0.425,29569
26,org.jsoup.parser.HtmlTreeBuilder,0.6342983166360064,57257
27,org.jsoup.parser.ParseError,0.9722222222222222,29510
27,org.jsoup.parser.TreeBuilder,0.7958582166507503,36747
27,org.jsoup.parser.Token,0.9586405529953917,42539
27,org.jsoup.parser.TokenQueue,0.9499416159726864,83579
27,org.jsoup.parser.Tokeniser,0.7392913590761904,43221
27,org.jsoup.parser.ParseSettings,0.9625,32448
27,org.jsoup.parser.ParseErrorList,0.9411764705882353,29339
27,org.jsoup.parser.XmlTreeBuilder,0.8692744190418009,43648
27,org.jsoup.parser.Tag,0.9385742399802464,38097
27,org.jsoup.parser.Parser,0.8959892740638294,42644
27,org.jsoup.parser.CharacterReader,0.9530014934380175,80738
27,org.jsoup.parser.HtmlTreeBuilderState,0.42540616107471374,30928
27,org.jsoup.parser.TokeniserState,0.425,30588
